"Velocidades:0","Velocidades:1","Velocidades:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.20423,0.0081165,0,1,0.3045,0.5,0.31018,0.5
-0.20327,0.00816,0,1,0.30549,0.5,0.31117,0.5
-0.20231,0.0082034,0,1,0.30648,0.5,0.31216,0.5
-0.20135,0.0082468,0,1,0.30746,0.5,0.31315,0.5
-0.20039,0.0082902,0,1,0.30845,0.5,0.31414,0.5
-0.19943,0.0083336,0,1,0.30944,0.5,0.31513,0.5
-0.19847,0.008377,0,1,0.31043,0.5,0.31611,0.5
-0.19751,0.0084204,0,1,0.31142,0.5,0.3171,0.5
-0.19655,0.0084639,0,1,0.31241,0.5,0.31809,0.5
-0.19558,0.0085073,0,1,0.3134,0.5,0.31908,0.5
-0.19462,0.0085507,0,1,0.31438,0.5,0.32007,0.5
-0.19366,0.0085941,0,1,0.31537,0.5,0.32106,0.5
-0.1927,0.0086375,0,1,0.31636,0.5,0.32205,0.5
-0.19174,0.0086809,0,1,0.31735,0.5,0.32303,0.5
-0.19078,0.0087243,0,1,0.31834,0.5,0.32402,0.5
-0.18982,0.0087678,0,1,0.31933,0.5,0.32501,0.5
-0.18886,0.0088112,0,1,0.32032,0.5,0.326,0.5
-0.1879,0.0088546,0,1,0.3213,0.5,0.32699,0.5
-0.18694,0.008898,0,1,0.32229,0.5,0.32798,0.5
-0.18598,0.0089414,0,1,0.32328,0.5,0.32897,0.5
-0.18502,0.0089848,0,1,0.32427,0.5,0.32996,0.5
-0.18405,0.0090282,0,1,0.32526,0.5,0.33094,0.5
-0.18309,0.0090716,0,1,0.32625,0.5,0.33193,0.5
-0.18213,0.0091151,0,1,0.32724,0.5,0.33292,0.5
-0.18125,0.0091709,0,1,0.32823,0.5,0.33391,0.5
-0.18039,0.0092296,0,1,0.32921,0.5,0.3349,0.5
-0.17952,0.0092884,0,1,0.3302,0.5,0.33589,0.5
-0.17866,0.0093472,0,1,0.33119,0.5,0.33688,0.5
-0.1778,0.009406,0,1,0.33218,0.5,0.33786,0.5
-0.17693,0.0094647,0,1,0.33317,0.5,0.33885,0.5
-0.17607,0.0095235,0,1,0.33416,0.5,0.33984,0.5
-0.17521,0.0095823,0,1,0.33515,0.5,0.34083,0.5
-0.17435,0.0096411,0,1,0.33613,0.5,0.34182,0.5
-0.17348,0.0096998,0,1,0.33712,0.5,0.34281,0.5
-0.17262,0.0097586,0,1,0.33811,0.5,0.3438,0.5
-0.17176,0.0098174,0,1,0.3391,0.5,0.34478,0.5
-0.17089,0.0098762,0,1,0.34009,0.5,0.34577,0.5
-0.17003,0.0099349,0,1,0.34108,0.5,0.34676,0.5
-0.16917,0.0099937,0,1,0.34207,0.5,0.34775,0.5
-0.1683,0.010052,0,1,0.34305,0.5,0.34874,0.5
-0.16744,0.010111,0,1,0.34404,0.5,0.34973,0.5
-0.16658,0.01017,0,1,0.34503,0.5,0.35072,0.5
-0.16571,0.010229,0,1,0.34602,0.5,0.35171,0.5
-0.16485,0.010288,0,1,0.34701,0.5,0.35269,0.5
-0.16399,0.010346,0,1,0.348,0.5,0.35368,0.5
-0.16312,0.010405,0,1,0.34899,0.5,0.35467,0.5
-0.16226,0.010464,0,1,0.34998,0.5,0.35566,0.5
-0.1614,0.010523,0,1,0.35096,0.5,0.35665,0.5
-0.16053,0.010581,0,1,0.35195,0.5,0.35764,0.5
-0.15972,0.010652,0,1,0.35294,0.5,0.35863,0.5
-0.15892,0.010727,0,1,0.35393,0.5,0.35961,0.5
-0.15813,0.010801,0,1,0.35492,0.5,0.3606,0.5
-0.15733,0.010876,0,1,0.35591,0.5,0.36159,0.5
-0.15654,0.010951,0,1,0.3569,0.5,0.36258,0.5
-0.15574,0.011025,0,1,0.35788,0.5,0.36357,0.5
-0.15495,0.0111,0,1,0.35887,0.5,0.36456,0.5
-0.15415,0.011175,0,1,0.35986,0.5,0.36555,0.5
-0.15336,0.011249,0,1,0.36085,0.5,0.36653,0.5
-0.15256,0.011324,0,1,0.36184,0.5,0.36752,0.5
-0.15177,0.011399,0,1,0.36283,0.5,0.36851,0.5
-0.15097,0.011473,0,1,0.36382,0.5,0.3695,0.5
-0.15018,0.011548,0,1,0.3648,0.5,0.37049,0.5
-0.14938,0.011623,0,1,0.36579,0.5,0.37148,0.5
-0.14859,0.011698,0,1,0.36678,0.5,0.37247,0.5
-0.14779,0.011772,0,1,0.36777,0.5,0.37346,0.5
-0.147,0.011847,0,1,0.36876,0.5,0.37444,0.5
-0.1462,0.011922,0,1,0.36975,0.5,0.37543,0.5
-0.14541,0.011996,0,1,0.37074,0.5,0.37642,0.5
-0.14461,0.012071,0,1,0.37173,0.5,0.37741,0.5
-0.14382,0.012146,0,1,0.37271,0.5,0.3784,0.5
-0.14302,0.01222,0,1,0.3737,0.5,0.37939,0.5
-0.14223,0.012295,0,1,0.37469,0.5,0.38038,0.5
-0.14144,0.01237,0,1,0.37568,0.5,0.38136,0.5
-0.14064,0.012445,0,1,0.37667,0.5,0.38235,0.5
-0.13985,0.012522,0,1,0.37766,0.5,0.38334,0.5
-0.1391,0.01261,0,1,0.37865,0.5,0.38433,0.5
-0.13834,0.012698,0,1,0.37963,0.5,0.38532,0.5
-0.13759,0.012785,0,1,0.38062,0.5,0.38631,0.5
-0.13683,0.012873,0,1,0.38161,0.5,0.3873,0.5
-0.13607,0.012961,0,1,0.3826,0.5,0.38828,0.5
-0.13532,0.013049,0,1,0.38359,0.5,0.38927,0.5
-0.13456,0.013136,0,1,0.38458,0.5,0.39026,0.5
-0.13381,0.013224,0,1,0.38557,0.5,0.39125,0.5
-0.13305,0.013312,0,1,0.38655,0.5,0.39224,0.5
-0.1323,0.0134,0,1,0.38754,0.5,0.39323,0.5
-0.13154,0.013487,0,1,0.38853,0.5,0.39422,0.5
-0.13078,0.013575,0,1,0.38952,0.5,0.3952,0.5
-0.13003,0.013663,0,1,0.39051,0.5,0.39619,0.5
-0.12927,0.013751,0,1,0.3915,0.5,0.39718,0.5
-0.12852,0.013838,0,1,0.39249,0.5,0.39817,0.5
